노래 가,歌,か,うた
집 가,家,か、け,いえ、や
더할 가,加,か,くわえる、くわわる
거리 가,街,がい、かい,まち
값 가,価,か,あたい
옳을 가,可,か,
거짓 가,仮,か、け,かり
아름다울 가,佳,か,
가혹할 가,苛,か,いら
시렁 가,架,か,かける、かかる
시집갈 가,嫁,か,よめ、とつぐ
틈/겨를 가,暇,か,ひま
심을 가,稼,か,かせぐ
뿔 각,角,かく,かど、つの
각각 각,各,かく,おの
깨달을 각,覚,かく,おぼえる、さます、さめる
새길 각,刻,こく,きざむ
집 각,閣,かく,
물리칠 각,却,きゃく,
껍질 각,殻,かく,から
다리 각,脚,きゃく、きゃ,あし
사이 간,間,かん、けん,あいだ、ま
새길 간,刊,かん,
줄기 간,幹,かん,みき
방패 간,干,かん,ほす、ひる
볼 간,看,かん,
대쪽 간,簡,かん,
간 간,肝,かん,きも
개간할 간,墾,こん,
간절할 간,懇,こん,ねんごろ
꾸짖을 갈,喝,かつ,
목마를 갈,渇,かつ,かわく
칡 갈,葛,かつ,くず
갈색 갈,褐,かつ,
느낄 감,感,かん,
덜 감,減,げん,へる、へらす
달 감,甘,かん,あまい、あまえる、あまやかす、あまんじる
헤아릴 감,勘,かん,
감색 감,紺,こん,
견딜 감,堪,かん、たん,たえる
감히 감,敢,かん,あえて
볼 감,監,かん,
섭섭할 감,憾,かん,
거울 감,鑑,かん,かんがみる
갑옷 갑,甲,こう、かん,
곶 갑,岬,,みさき
강할 강,強,きょう、ごう,つよい、つよまる、つよめる、しいる
편안할 강,康,こう,
외울 강,講,こう,
내릴 강/항복할 항,降,こう,おりる、おろす、ふる
강철 강,鋼,こう,はがね
강 강,江,こう,え
언덕 강,岡,きゅう,おか
굳셀 강,剛,ごう,
벼리 강,綱,こう,つな
열 개,開,かい,ひらく、ひらける、あく、あける
고칠 개,改,かい,あらためる、あらたまる
낱 개,個,こ,
끼일 개,介,かい,
다 개,皆,かい,みな
분개할 개,慨,がい,
덮을 개,蓋,がい,ふた
낱 개,箇,か,
대개 개,概,がい,
손 객,客,きゃく、かく,
구덩이 갱,坑,こう,
갈 거,去,きょ、こ,さる
들 거,挙,きょ,あがる、あげる
살 거,居,きょ,いる
클 거,巨,きょ,
막을 거,拒,きょ,こばむ
근거 거,拠,きょ,
일할 거,据,,すえる、すわる
떨어질 거,距,きょ,
옷자락 거,裾,,すそ
세울 건,建,けん、こん,たてる、たつ
굳셀 건,健,けん,すこやか
물건 건,件,けん,
수건 건,巾,きん,
마를 건,乾,かん,かわく、かわかす
열쇠 건,鍵,けん,かぎ
빌 걸,乞,,こう
뛰어날 걸,傑,けつ,
검사할 검,検,けん,
검소할 검,倹,けん,
칼 검,剣,けん,つるぎ
걸 게,掲,けい,かかげる
쉴 게,憩,けい,いこう
격식 격,格,かく、こう,
격할 격,激,げき,はげしい
사이뜰 격,隔,かく,へだてる、へだたる
칠 격,撃,げき,うつ
개 견,犬,けん,いぬ
볼 견,見,けん,みる、みえる、みせる
비단 견,絹,けん,きぬ
어깨 견,肩,けん,かた
굳을 견,堅,けん,かたい
보낼 견,遣,けん,つかう、つかわす
고치 견,繭,けん,まゆ
결단할 결,決,けつ,きめる、きまる
이지러질 결,欠,けつ,かける、かく、かかす
맺을 결,結,けつ,むすぶ、ゆう、ゆわえる
깨끗할 결,潔,けつ,いさぎよい
겸할 겸,兼,けん,かねる
겸손할 겸,謙,けん,
낫 겸,鎌,,かま
서울 경,京,きょう、けい、きん,
가벼울 경,軽,けい,かるい、かろやか
지름길/ 길 경,径,けい,
볕 경,景,けい,
거울 경,鏡,きょう,かがみ
다툴 경,競,けい、きょう,きそう、せる
지날/ 글 경,経,けい、きょう,へる
밭 갈 경,耕,こう,たがやす
지경 경,境,きょう、けい,さかい
공경할 경,敬,けい,うやまう
깨우칠 경,警,けい,
줄기 경,茎,けい,くき
고칠 경/ 다시 갱,更,こう,さら、ふける、ふかす
잠깐 경,頃,,ころ
줄기 경,梗,こう、きょう,
굳을 경,硬,こう,かたい
기울 경,傾,けい,かたむく、かたむける
경사 경,慶,けい,
깨달을 경,憬,けい,
고래 경,鯨,げい,くじら
놀랄 경,驚,きょう,おどろく、おどろかす
셀 계,計,けい,はかる、はかろう
맬 계,係,けい,かかる、かかり
지경 계,界,かい,
섬돌 계,階,かい,
계절 계,季,き,
기계 계,械,かい,
이을 계,系,けい,
이를 계,届,,とどける、とどく
경계할 계,戒,かい,いましめる
맺을 계,契,けい,ちぎる
열 계,啓,けい,
시내 계,渓,けい,
이을 계,継,けい,つぐ
머무를 계,稽,けい,
닭 계,鶏,けい,にわとり
옛 고,古,こ,ふるい、ふるす
생각할 고,考,こう,かんがえる
높을 고,高,こう,たかい、たか、たかまる、たかめる
쓸 고,苦,く,くるしい、くるしむ、くるしめる、にがい
곳집 고,庫,こ、く,
고할 고,告,こく,つげる
굳을 고,固,こ,かたい、かたまる、かためる
연고 고,故,こ,ゆえ
꽁무니 고,尻,,しり
넓적다리 고,股,こ,また
외로울 고,孤,こ,
칠 고,拷,ごう,
마를 고,枯,こ,かれる、からす
품 팔 고,雇,こ,やとう
북 고,鼓,こ,つづみ
원고 고,稿,こう,
막을 고,錮,こ,
돌아볼 고,顧,こ,かえりみる
골짜기 곡,谷,こく,たに
굽을 곡,曲,きょく,まがる、まげる
곡식 곡,穀,こく,
곤할 곤,困,こん,こまる
벌레 곤,昆,こん,
뼈 골,骨,こつ,ほね
빌 공,空,くう,そら、から、あく、あける
장인 공,工,こう,
공평할 공,公,こう,おおやけ
공 공,功,こう,
한가지 공,共,きょう,とも
이바지할 공,供,きょう、く,とも、そなえる
구멍 공,孔,こう,
칠 공,攻,こう,せめる
두려울 공,恐,きょう,おそれる、おそろしい
공손할 공,恭,きょう,うやうやしい
바칠 공,貢,こう、く,みつぐ
당길 공,控,こう,ひかえる
과목 과,科,か,
실과 과,果,か,はたす、はてる
