아이디,한자,구자,부수,총획,학년,추가연도,삭제연도,발음,훈음,뜻
0001,亜,亞,二,7,S,,,ア,버금 아,1.아 2.'アジア(亜細亜)'의준말 3.'アルゼンチン(亜爾然丁)'의준말
0002,哀,,口,9,S,,,アイ、あわ-れ、あわ-れむ,슬플 애,1.슬프다 2.가엾게여기다 3.가엾음 4.애원하다 5.슬퍼하다
0003,挨,,手,10,S,2010,,アイ,밀칠 애,
0004,愛,,心,13,4,,,アイ,사랑 애,1.사랑하다 2.그리워하다 3.좋아하다 4.소중히여기다 5.아끼다
0005,曖,,日,17,S,2010,,アイ,희미할 애,
0006,悪,惡,心,11,3,,,アク、オ、わる-い,악할 악/ 미워할 오,1.나쁘다 2.좋지않다 3.보기싫은 4.서투른 5.나쁜
0007,握,,手,12,S,,,アク、にぎ-る,쥘 악,1.쥐다 2.잡다 3.움키다
0008,圧,壓,土,5,5,,,アツ,누를 압,1.누르다 2.억누르다 3.능가하다 4.짓누르다
0009,扱,,手,6,S,,,あつか-う,미칠 급,
0010,宛,,宀,8,S,2010,,あ-てる,완연할 완,1.당 2.…앞
0011,嵐,,山,12,S,2010,,あらし,남기 람,1.폭풍 2.(비유적으로)파동 3.파란
0012,安,,宀,6,3,,,アン、やす-い,편안 안,
0013,案,,木,10,4,,,アン,책상 안,1.책상 2.생각하다 3.조사하다 4.생각 5.계획
0014,暗,,日,13,3,,,アン、くら-い,어두울 암,1.어둡다 2.거무스름하다 3.우둔함 4.답답하다 5.비밀리
0015,以,,人,5,4,,,イ,써 이,1.(시간의) …에서 2.(범위의) …에서 3.(방향의) …에서 4.…으로 5.…부터
0016,衣,,衣,6,4,,,イ、ころも,옷 의,1.옷 2.법의 3.(과자·튀김등의)거죽에입힌것 4.의복 5.승복(僧服)
0017,位,,人,7,4,,,イ、くらい,자리 위,1.(관직·신분의)차례 2.천자의지위 3.곳 4.방향
0018,囲,圍,囗,7,5,,,イ、かこ-む、かこ-う,에워쌀 위,1.에워싸다 2.둘레 3.둘러싸다 4.주위
0019,医,醫,酉,7,3,,,イ,의원 의,1.병을고침 2.의사
0020,依,,人,8,S,,,イ、（エ）,의지할 의,1.의지하다 2.부탁하다 3.그대로 4.기대다 5.원래대로
0021,委,,女,8,3,,,イ、ゆだ-ねる,맡길 위,1.맡기다 2.'委員会いいんかい'의준말 3.자세하다 4.버리다 5.위임하다
0022,威,,女,9,S,,,イ,위엄 위,1.강하다 2.세력 3.위협하다 4.위엄스럽다 5.권력
0023,為,爲,爪,9,S,,,イ,할 위,1.이익 2.목적 3.그일이다음에말하는것의목적임을나타냄 4.…때문 5.그일이다음에말하는것의원인·이유임을나타냄
0024,畏,,田,9,S,2010,,イ、おそ-れる,두려워할 외,1.두려워하다 2.심복하다 3.황송해하다 4.공경하다
0025,胃,,肉,9,6,,,イ,밥통 위,
0026,尉,,寸,11,S,,,イ,벼슬 위,1.(能楽のうがく에서)백발할아버지 2.(숯불이타고남은)흰재 3.노인탈
0027,異,,田,11,6,,,イ、こと,다를 이,1.다름 2.보통과는달리이상함 3.정통이아닌것 4.다른점이있음 5.묘함
0028,移,,禾,11,5,,,イ、うつ-る、うつ-す,옮길 이,1.옮다 2.변하다 3.옮기다 4.움직이다
0029,萎,,艸,11,S,2010,,イ、な-える,시들 위,1.시들다 2.쇠약해지다
0030,偉,,人,12,S,,,イ、えら-い,클 위,1.훌륭하다 2.멋진 3.크고뛰어난
0031,椅,,木,12,S,2010,,イ,의자 의,
0032,彙,,彐,13,S,2010,,イ,무리 휘,
0033,意,,心,13,3,,,イ,뜻 의,1.마음 2.생각 3.심지 4.원한 5.연구
0034,違,,辵,13,S,,,イ、ちが-う、ちが-える,어긋날 위,1.다르다 2.엇갈리다 3.어기다 4.잘못 5.위반하다
0035,維,,糸,14,S,,,イ,벼리 유,1.잇다 2.대강(大綱) 3.줄기 4.오직 5.維摩ゆいま유마
0036,慰,,心,15,S,,,イ、なぐさ-める、なぐさ-む,위로할 위,마음을위로하는재료(거리)
0037,遺,,辵,15,6,,,イ、（ユイ）,남길 유,1.잊다 2.버리다 3.남기다 4.(사후에)남기다 5.(마음에)남다
0038,緯,,糸,16,S,,,イ,위도 위,
0039,域,,土,11,6,,,イキ,지경 역,1.경계 2.구획된장소·토지 3.지방 4.범위 5.나라
0040,育,,肉,8,3,,,イク、そだ-つ、そだ-てる、はぐく-む,기를 육,1.기르다 2.가르치다 3.자라다
0041,一,,一,1,1,,,イチ、イツ、ひと、ひと-つ,한 일,1.하나 2.같음 3.버젓한 4.전체 5.오로지
0042,壱,壹,士,7,S,,,イチ,한/ 갖은한 일,
0043,逸,逸,辵,11,S,,,イツ,편안할 일,
0044,茨,,艸,9,4,2010,,（いばら）,가시나무 자,1.가시나무 2.가시가있는관목류의총칭 3.(식물의)가시 4.찔레꽃 5.야생장미의총칭
0045,芋,,艸,6,S,,,いも,토란 우,
0046,引,,弓,4,2,,,イン、ひ-く、ひ-ける,끌 인,1.당기다 2.늘이다 3.데려가다 4.이끌다 5.떠맡다
0047,印,,卩,6,4,,,イン、しるし,도장 인,
0048,因,,囗,6,5,,,イン、よ-る,인할 인,
0049,咽,,口,9,S,2010,,イン,목구멍 인,
0050,姻,,女,9,S,,,イン,혼인 인,1.결혼 2.인척 3.혼인
0051,員,,口,10,3,,,イン,인원 원,1.사람수 2.역을맡은사람 3.둘레 4.물건수 5.소속된사람
0052,院,,阜,10,3,,,イン,집 원,1.관청 2.사원 3.학교 4.진료소 5.시설
0053,淫,,水,11,S,2010,,イン、みだ-ら,음란할 음,1.음탕함 2.올바르지못한 3.문란해지다 4.도를넘다 5.오래다
0054,陰,,阜,11,S,,,イン、かげ、かげ-る,그늘 음,
0055,飲,飮,食,12,3,,,イン、の-む,마실 음,1.마시다 2.술을마시다 3.마실것
0056,隠,隱,阜,14,S,,,イン、かく-す、かく-れる,숨을 은,1.가리다 2.간수하다 3.비밀로하다 4.숨다 5.세상을멀리하다
0057,韻,,音,19,S,,,イン,운율 운,
0058,右,,口,5,1,,,ウ、ユウ、みぎ,오른쪽 우,1.우 2.우위(優位) 3.(세로쓰기문장에서)우 4.우익 5.오른쪽
0059,宇,,宀,6,6,,,ウ,집 우,
0060,羽,羽,羽,6,2,,,ウ、は、はね,깃 우,
0061,雨,,雨,8,1,,,ウ、あめ、（あま）,비 우,1.비 2.비가옴 3.우천
0062,唄,,口,10,S,2010,,（うた）,염불 소리 패,
0063,鬱,,鬯,29,S,2010,,ウツ,막힐 울,1.울창함 2.번성함 3.막히다 4.개운치않다
0064,畝,,田,10,S,,,うね,이랑 묘,
0065,浦,,水,10,S,,,うら,개 포,1.바닷가 2.물가 3.갯가
0066,運,,辵,12,3,,,ウン、はこ-ぶ,옮길 운,1.나르다 2.돌다 3.사용하다 4.움직이다 5.운
0067,雲,,雨,12,2,,,ウン、くも,구름 운,1.구름 2.구름처럼생김 3.막연함 4.(마음이)개운치않음 5.높은곳
0068,永,,水,5,5,,,エイ、なが-い,길 영,1.시간이길다 2.무한함
0069,泳,,水,8,3,,,エイ、およ-ぐ,헤엄칠 영,헤엄치다
0070,英,,艸,8,4,,,エイ,꽃부리 영,1.뛰어나다 2.뛰어난사람 3.아름답다
0071,映,,日,9,6,,,エイ、うつ-る、うつ-す、は-える,비칠 영,1.비치다 2.비추다 3.번쩍이다
